CS 3110
Lectures
LEC 001,Monday 1325 Monday 1415,Wednesday 1325 Wednesday 1415,Friday 1325 Friday 1415
Discussions
DIS 001,Monday 1010 Monday 1125
DIS 002,Monday 1140 Monday 1255
DIS 003,Monday 1140 Monday 1255
DIS 004,Monday 1455 Monday 1610
DIS 005,Monday 1455 Monday 1610
DIS 006,Monday 1930 Monday 2045
DIS 007,Tuesday 1010 Tuesday 1125
DIS 008,Tuesday 1140 Tuesday 1255
DIS 009,Tuesday 1325 Tuesday 1440
DIS 010,Tuesday 1455 Tuesday 1610
DIS 011,Tuesday 0840 Tuesday 0955
DIS 012,Tuesday 1325 Tuesday 1440
Labs
