PHYS 2213
Lectures
LEC 001,Tuesday 0905 Tuesday 0955,Thursday 0905 Thursday 0955
LEC 002,Tuesday 1115 Tuesday 1205,Thursday 1115 Thursday 1205
Discussions
DIS 202,Wednesday 0800 Wednesday 0850,Friday 0800 Friday 0850
DIS 203,Wednesday 0905 Wednesday 0955,Friday 0905 Friday 0955
DIS 204,Wednesday 0905 Wednesday 0955,Friday 0905 Friday 0955
DIS 205,Wednesday 0905 Wednesday 0955,Friday 0905 Friday 0955
DIS 206,Wednesday 1010 Wednesday 1100,Friday 1010 Friday 1100
DIS 207,Wednesday 1010 Wednesday 1100,Friday 1010 Friday 1100
DIS 208,Wednesday 1010 Wednesday 1100,Friday 1010 Friday 1100
DIS 209,Wednesday 1115 Wednesday 1205,Friday 1010 Friday 1100
DIS 210,Wednesday 1115 Wednesday 1205,Friday 1010 Friday 1100
DIS 211,Wednesday 1115 Wednesday 1205,Friday 1010 Friday 1100
DIS 212,Tuesday 1220 Tuesday 1310,Thursday 1220 Thursday 1310
DIS 213,Tuesday 1220 Tuesday 1310,Thursday 1220 Thursday 1310
DIS 214,Tuesday 1220 Tuesday 1310,Thursday 1220 Thursday 1310
DIS 215,Wednesday 1220 Wednesday 1310,Friday 1220 Friday 1310
DIS 217,Wednesday 1220 Wednesday 1310,Friday 1220 Friday 1310
DIS 218,Tuesday 1325 Tuesday 1415,Thursday 1325 Thursday 1415
DIS 219,Tuesday 1325 Tuesday 1415,Thursday 1325 Thursday 1415
DIS 221,Tuesday 1325 Tuesday 1415,Thursday 1325 Thursday 1415
DIS 222,Wednesday 1325 Wednesday 1415,Friday 1325 Friday 1415
DIS 223,Tuesday 1430 Tuesday 1520,Thursday 1430 Thursday 1520
DIS 224,Tuesday 1430 Tuesday 1520,Thursday 1430 Thursday 1520
DIS 225,Wednesday 1430 Wednesday 1520,Friday 1430 Friday 1520
DIS 226,Wednesday 1430 Wednesday 1520,Friday 1430 Friday 1520
DIS 227,Tuesday 1535 Tuesday 1625,Thursday 1535 Thursday 1625
DIS 228,Wednesday 1535 Wednesday 1625,Friday 1535 Friday 1625
Labs
